cod_municipio;provincia;nombre_municipio;segmento_renta;renta_neta_persona;n_vehiculos;potencia_cv_media;antiguedad_media;pct_electrificado;pct_gama_alta;pct_renting;n_electrificados;n_gama_alta;n_renting
03005;03;Albatera;Muy baja;10399,0;3562;123,93;8,69;11,43;16,28;0,0;407;580;0
03009;03;Alcoi/Alcoy;Baja;13256,0;16836;118,72;8,1;12,92;14,93;0,0;2176;2513;0
03011;03;Alfàs del Pi, l';Muy baja;12274,0;7114;127,66;8,35;16,25;17,94;0,0;1156;1276;0
03014;03;Alacant/Alicante;Media;13681,0;98224;122,35;7,81;19,52;16,77;0,17;19173;16469;165
03015;03;Almoradí;Muy baja;10104,0;6149;122,03;8,69;10,31;16,72;0,02;634;1028;1
03018;03;Altea;Baja;12822,0;9044;133,2;8,27;16,23;22,66;0,01;1468;2049;1
03019;03;Aspe;Muy baja;11274,0;6359;121,19;8,21;13,45;14,75;0,0;855;938;0
03031;03;Benidorm;Muy baja;12263,0;19070;125,69;8,16;17,19;17,58;0,02;3279;3353;4
03041;03;Benissa;Baja;12496,0;5686;126,33;8,13;12,28;16,13;0,0;698;917;0
03047;03;Calp;Muy baja;11768,0;8675;128,86;8,32;16,69;18,79;0,0;1448;1630;0
03049;03;Callosa de Segura;Muy baja;10347,0;4804;122,52;8,68;10,68;17,76;0,0;513;853;0
03050;03;Campello, el;Media;14584,0;10297;121,11;7,91;18,1;15,82;0,0;1864;1629;0
03053;03;Castalla;Baja;12747,0;3750;119,6;8,32;13,04;12,32;0,0;489;462;0
03056;03;Cocentaina;Baja;13101,0;3717;123,9;8,01;14,07;19,18;0,0;523;713;0
03059;03;Crevillent;Muy baja;10608,0;8206;120,6;8,57;11,76;14,84;0,02;965;1218;2
03063;03;Dénia;Baja;12954,0;16148;121,5;7,88;15,4;14,87;0,01;2487;2402;1
03065;03;Elx/Elche;Muy baja;11849,0;68594;121,66;8,15;14,87;17,26;0,08;10203;11839;58
03066;03;Elda;Muy baja;11198,0;14020;118,06;8,42;10,95;14,67;0,0;1535;2057;0
03076;03;Guardamar del Segura;Muy baja;12161,0;6910;122,84;8,69;13,53;16,8;0,01;935;1161;1
03079;03;Ibi;Baja;13319,0;7747;122,53;8,46;12,92;16,63;0,0;1001;1288;0
03082;03;Xàbia/Jávea;Baja;12533,0;12178;131,04;7,86;16,94;19,37;0,01;2063;2359;1
03089;03;Monòver/Monóvar;Muy baja;10968,0;3397;118,46;8,52;11,45;14,22;0,0;389;483;0
03090;03;Mutxamel;Media;14135,0;9658;121,36;7,83;18,88;15,49;0,01;1823;1496;1
03093;03;Novelda;Muy baja;12116,0;8062;118,26;8,24;13,88;12,81;0,01;1119;1033;1
03094;03;Nucia, la;Baja;12585,0;6442;124,39;8,17;17,09;15,46;0,06;1101;996;4
03099;03;Orihuela;Muy baja;11512,0;39795;123,81;8,38;15,0;15,44;0,0;5970;6143;1
03102;03;Pego;Baja;12383,0;3882;117,5;8,25;11,93;11,75;0,03;463;456;1
03104;03;Petrer;Muy baja;11815,0;10391;117,62;8,34;11,99;13,31;0,0;1246;1383;0
03113;03;Rojales;Muy baja;10746,0;9115;126,96;8,7;14,56;14,84;0,0;1327;1353;0
03119;03;Sant Joan d'Alacant;Media;14533,0;8985;122,66;7,66;19,7;18,95;0,13;1770;1703;12
03121;03;Santa Pola;Baja;12366,0;11946;118,15;8,3;13,59;15,03;0,0;1623;1796;0
03122;03;Sant Vicent del Raspeig/San Vicente del Raspeig;Baja;13070,0;17954;117,94;8,01;15,24;12,19;0,01;2736;2189;1
03123;03;Sax;Muy baja;11917,0;2701;118,81;8,87;10,22;12,48;0,0;276;337;0
03128;03;Teulada;Muy baja;12083,0;5907;133,88;8,04;15,25;19,64;0,02;901;1160;1
03133;03;Torrevieja;Muy baja;9868,0;31243;122,7;8,93;13,8;15,66;0,0;4310;4892;0
03139;03;Vila Joiosa, la/Villajoyosa;Baja;12658,0;10134;120,62;8,25;15,44;14,01;0,0;1565;1420;0
03140;03;Villena;Muy baja;11956,0;8562;121,28;8,81;12,19;15,42;0,01;1044;1320;1
03902;03;Pilar de la Horadada;Muy baja;11455,0;9340;123,44;8,64;12,19;16,27;0,0;1139;1520;0
08001;08;Abrera;Alta;16682,0;4826;126,42;7,77;17,59;10,55;0,0;849;509;0
08003;08;Alella;Muy alta;25382,0;3705;136,54;7,37;26,61;23,16;0,05;986;858;2
08006;08;Arenys de Mar;Alta;16679,0;4645;119,28;7,86;18,51;13,26;0,0;860;616;0
08009;08;Argentona;Muy alta;18013,0;4458;123,71;7,85;20,08;13,95;0,0;895;622;0
08015;08;Badalona;Media;14618,0;48495;124,18;7,73;19,18;11,83;0,0;9301;5738;2
08019;08;Barcelona;Muy alta;19527,0;303945;130,86;7,57;23,53;18,2;0,12;71526;55309;360
08022;08;Berga;Alta;15449,0;5028;125,5;8,23;14,52;12,89;0,0;730;648;0
