provincia;segmento_renta;anio_matriculacion;n_vehiculos;potencia_cv_media;antiguedad_media;pct_electrificado
03;Muy baja;2010;17672;113,42;15,78;0,75
03;Muy baja;2011;16081;117,85;14,75;1,3
03;Muy baja;2012;14093;117,75;13,77;1,33
03;Muy baja;2013;14576;116,16;12,75;1,73
03;Muy baja;2014;17432;115,62;11,74;1,31
03;Muy baja;2015;20745;115,77;10,74;1,61
03;Muy baja;2016;22401;118,85;9,75;2,39
03;Muy baja;2017;23608;120,39;8,74;4,22
03;Muy baja;2018;24609;121,02;7,76;5,07
03;Muy baja;2019;22942;124,22;6,75;7,58
03;Muy baja;2020;14943;127,74;5,7;17,02
03;Muy baja;2021;14564;128,6;4,73;29,44
03;Muy baja;2022;14028;128,4;3,73;35,09
03;Muy baja;2023;14433;134,38;2,75;41,43
03;Muy baja;2024;13706;135,6;1,75;45,45
03;Muy baja;2025;13171;136,78;0,72;59,72
03;Muy baja;2026;2972;142,73;0,1;65,98
03;Baja;2010;7102;113,07;15,78;0,68
03;Baja;2011;5891;118,28;14,75;1,15
03;Baja;2012;5575;117,31;13,77;1,18
03;Baja;2013;5991;114,54;12,74;1,6
03;Baja;2014;7282;115,24;11,74;1,5
03;Baja;2015;8917;115,13;10,74;1,37
03;Baja;2016;10032;118,08;9,74;2,02
03;Baja;2017;10514;119,52;8,74;3,78
03;Baja;2018;11508;119,39;7,76;5,28
03;Baja;2019;10985;123,81;6,75;7,44
03;Baja;2020;7092;127,33;5,7;16,74
03;Baja;2021;6991;127,88;4,74;28,81
03;Baja;2022;6355;129,08;3,73;34,67
03;Baja;2023;6586;132,45;2,75;39,14
03;Baja;2024;6698;133,18;1,75;44,71
03;Baja;2025;6420;135,32;0,72;59,92
03;Baja;2026;1525;140,27;0,1;67,87
03;Media;2010;7112;111,59;15,78;1,2
03;Media;2011;5798;113,8;14,75;2,09
03;Media;2012;5291;113,73;13,76;2,51
03;Media;2013;5808;112,6;12,73;1,76
03;Media;2014;6973;113,28;11,72;1,76
03;Media;2015;8369;114,15;10,73;2,43
03;Media;2016;9647;115,74;9,74;2,95
03;Media;2017;10296;116,98;8,73;5,56
03;Media;2018;10976;118,53;7,75;7,25
03;Media;2019;10389;122,24;6,74;9,91
03;Media;2020;7097;126,46;5,69;20,57
03;Media;2021;6881;127,37;4,72;34,94
03;Media;2022;6639;128,35;3,72;40,4
03;Media;2023;7385;132,93;2,73;47,61
03;Media;2024;7851;134,66;1,74;49,28
03;Media;2025;8450;142,17;0,72;66,53
03;Media;2026;2202;147,29;0,09;73,89
08;Baja;2010;4833;114,58;15,79;1,1
08;Baja;2011;3939;118,08;14,74;1,62
08;Baja;2012;3316;115,49;13,76;2,29
08;Baja;2013;3622;116,24;12,73;2,35
08;Baja;2014;4287;115,03;11,74;2,1
08;Baja;2015;5508;117,1;10,74;2,36
08;Baja;2016;6375;120,14;9,75;3,33
08;Baja;2017;7381;121,15;8,74;5,84
08;Baja;2018;8326;120,73;7,76;7,1
08;Baja;2019;8313;125,03;6,75;9,49
08;Baja;2020;5737;125,86;5,73;17,66
08;Baja;2021;4951;128,84;4,75;31,57
08;Baja;2022;4265;129,88;3,74;39,18
08;Baja;2023;4699;133,76;2,74;43,73
08;Baja;2024;5271;131,76;1,72;58,07
08;Baja;2025;6071;137,21;0,79;67,4
08;Baja;2026;1056;140,58;0,1;71,78
08;Media;2010;14523;113,27;15,78;0,74
08;Media;2011;12321;115,94;14,75;1,43
08;Media;2012;10488;114,63;13,76;1,81
08;Media;2013;11841;113,74;12,73;1,97
08;Media;2014;14035;114,13;11,73;1,91
08;Media;2015;17939;114,59;10,74;2,28
08;Media;2016;20455;118,3;9,74;3,46
08;Media;2017;23063;119,11;8,74;6,01
08;Media;2018;25558;120,44;7,76;6,76
08;Media;2019;24304;125,03;6,75;9,35
08;Media;2020;16639;125,78;5,71;18,97
08;Media;2021;15749;129,67;4,73;33,09
08;Media;2022;13864;130,11;3,73;38,93
08;Media;2023;15118;134,25;2,75;43,23
08;Media;2024;16151;140,22;1,73;50,88
08;Media;2025;21200;138,56;0,75;54,92
08;Media;2026;4430;146,01;0,1;69,91
08;Alta;2010;21757;113,27;15,79;0,8
08;Alta;2011;18114;116,86;14,74;1,44
08;Alta;2012;15616;113,82;13,76;1,9
08;Alta;2013;17474;113,47;12,74;1,88
08;Alta;2014;21292;113,81;11,73;1,89
08;Alta;2015;27739;115,06;10,74;2,35
08;Alta;2016;31418;118,32;9,74;3,65
08;Alta;2017;35288;119,76;8,74;6,43
08;Alta;2018;38702;120,08;7,76;7,19
08;Alta;2019;36491;125,15;6,75;9,59
08;Alta;2020;25117;126,56;5,71;20,17
08;Alta;2021;23474;128,31;4,73;34,08
08;Alta;2022;21483;129,94;3,72;40,23
08;Alta;2023;24044;134,07;2,74;44,33
08;Alta;2024;24165;135,33;1,74;50,41
08;Alta;2025;24599;135,26;0,72;61,73
08;Alta;2026;6222;136,72;0,1;70,3
08;Muy alta;2010;24977;116,47;15,78;1,35
08;Muy alta;2011;21003;119,93;14,74;2,43
08;Muy alta;2012;19222;117,85;13,76;3,36
08;Muy alta;2013;21083;117,14;12,74;2,92
08;Muy alta;2014;25505;118,03;11,73;3,24
08;Muy alta;2015;32904;119,86;10,74;4,05
08;Muy alta;2016;37463;123,19;9,74;5,56
08;Muy alta;2017;42828;125,38;8,74;8,95
08;Muy alta;2018;45554;125,6;7,76;10,03
08;Muy alta;2019;46216;129,83;6,74;13,11
08;Muy alta;2020;33286;132,3;5,71;24,38
08;Muy alta;2021;29945;135,74;4,73;37,79
08;Muy alta;2022;28005;137,38;3,73;45,13
08;Muy alta;2023;32071;143,73;2,74;51,28
08;Muy alta;2024;32892;144,62;1,73;57,6
08;Muy alta;2025;34289;145,83;0,73;68,2
08;Muy alta;2026;8353;151,6;0,1;76,36
28;Muy baja;2010;2139;116,66;15,79;0,33
28;Muy baja;2011;1922;119,82;14,75;0,73
28;Muy baja;2012;1631;117,85;13,77;1,23
28;Muy baja;2013;1658;117,17;12,75;1,27
28;Muy baja;2014;1845;117,3;11,74;1,41
28;Muy baja;2015;2474;116,89;10,75;1,13
28;Muy baja;2016;2803;119,84;9,74;2,43
28;Muy baja;2017;2901;120,44;8,74;4,89
28;Muy baja;2018;3081;120,92;7,75;7,79
28;Muy baja;2019;2979;125,31;6,75;11,55
28;Muy baja;2020;2034;127,95;5,71;20,3
28;Muy baja;2021;1814;128,03;4,74;35,83
28;Muy baja;2022;1491;126,83;3,74;40,11
28;Muy baja;2023;1683;133,12;2,75;45,81
28;Muy baja;2024;1753;132,68;1,74;55,68
28;Muy baja;2025;1653;135,71;0,72;68,78
28;Muy baja;2026;409;149,01;0,1;78,97
28;Baja;2010;5609;116,25;15,79;0,64
28;Baja;2011;4752;120,61;14,75;1,18
28;Baja;2012;4071;117,48;13,77;1,3
28;Baja;2013;4430;117,51;12,74;1,96
28;Baja;2014;5269;117,29;11,74;1,37
28;Baja;2015;6530;119,18;10,73;1,91
28;Baja;2016;7215;120,07;9,74;2,81
28;Baja;2017;7919;122,44;8,74;5,64
28;Baja;2018;8305;123,52;7,76;8,26
28;Baja;2019;7771;126,71;6,75;12,78
28;Baja;2020;5176;129,86;5,7;23,67
28;Baja;2021;4981;130,02;4,74;37,6
28;Baja;2022;4308;130,16;3,73;43,92
28;Baja;2023;4674;133,8;2,75;48,87
28;Baja;2024;4893;136,31;1,75;60,13
28;Baja;2025;4456;135,97;0,73;71,32
28;Baja;2026;1074;140,13;0,1;77,28
28;Media;2010;15938;117,01;15,78;0,8
28;Media;2011;13332;120,31;14,74;1,46
28;Media;2012;11894;117,54;13,76;1,59
28;Media;2013;12508;116,73;12,74;1,91
28;Media;2014;15296;116,62;11,74;1,96
28;Media;2015;18706;119,1;10,74;2,36
28;Media;2016;21001;121,33;9,74;3,46
28;Media;2017;22569;123,38;8,74;6,42
28;Media;2018;23477;123,12;7,76;9,34
28;Media;2019;21780;126,67;6,75;14,17
28;Media;2020;15477;128,51;5,7;26,54
28;Media;2021;14572;130,56;4,73;40,64
28;Media;2022;12752;129,45;3,73;47,61
28;Media;2023;14296;134,09;2,74;52,7
28;Media;2024;14712;135,42;1,74;63,0
28;Media;2025;14573;134,3;0,73;73,5
28;Media;2026;3526;139,8;0,1;81,42
28;Alta;2010;14973;118,11;15,79;1,02
28;Alta;2011;12583;120,73;14,75;1,57
28;Alta;2012;11359;118,44;13,77;1,69
28;Alta;2013;12138;117,42;12,74;2,21
28;Alta;2014;14443;116,85;11,74;1,75
28;Alta;2015;17799;118,68;10,74;2,91
28;Alta;2016;20065;121,78;9,74;3,68
28;Alta;2017;21093;123,94;8,74;7,5
28;Alta;2018;22253;124,01;7,75;10,83
28;Alta;2019;21068;128,28;6,75;15,93
28;Alta;2020;15305;130,51;5,69;27,44
28;Alta;2021;16396;133,05;4,7;40,25
28;Alta;2022;18003;135,11;3,71;42,32
28;Alta;2023;19835;138,57;2,73;49,44
28;Alta;2024;23347;141,39;1,72;58,18
28;Alta;2025;30134;144,23;0,71;72,96
28;Alta;2026;9230;154,31;0,1;80,1
28;Muy alta;2010;70619;120,27;15,78;1,29
28;Muy alta;2011;59497;123,3;14,75;2,51
28;Muy alta;2012;54165;119,88;13,77;2,94
28;Muy alta;2013;57899;119,04;12,74;3,26
28;Muy alta;2014;68648;119,88;11,74;3,36
28;Muy alta;2015;83284;122,11;10,74;4,62
28;Muy alta;2016;93023;124,93;9,74;6,53
28;Muy alta;2017;100854;127,11;8,74;11,72
28;Muy alta;2018;108433;126,34;7,75;15,91
28;Muy alta;2019;107137;130,36;6,74;21,03
28;Muy alta;2020;83482;133,05;5,68;34,28
28;Muy alta;2021;96697;133,49;4,7;45,2
28;Muy alta;2022;121373;135,23;3,7;44,92
28;Muy alta;2023;195149;136,18;2,7;50,64
28;Muy alta;2024;224694;138,62;1,71;54,1
28;Muy alta;2025;267600;137,39;0,71;62,49
28;Muy alta;2026;77267;138,01;0,09;66,5
41;Muy baja;2010;11729;110,17;15,77;0,36
41;Muy baja;2011;9585;113,84;14,75;0,66
41;Muy baja;2012;8362;112,64;13,77;0,87
41;Muy baja;2013;8740;112,26;12,73;1,01
41;Muy baja;2014;11317;112,47;11,74;1,18
41;Muy baja;2015;13786;113,37;10,75;1,07
41;Muy baja;2016;15422;116,37;9,75;1,5
41;Muy baja;2017;16726;117,1;8,75;2,7
41;Muy baja;2018;16542;117,98;7,75;3,54
41;Muy baja;2019;15881;122,0;6,74;6,42
41;Muy baja;2020;10687;125,51;5,7;12,19
41;Muy baja;2021;9592;126,32;4,74;20,54
41;Muy baja;2022;6514;125,35;3,73;25,71
41;Muy baja;2023;5956;129,08;2,75;31,38
41;Muy baja;2024;5673;132,65;1,74;38,67
41;Muy baja;2025;5455;132,93;0,72;50,45
41;Muy baja;2026;1219;136,5;0,1;59,23
41;Baja;2010;4960;107,09;15,79;1,03
41;Baja;2011;3926;111,9;14,75;1,1
41;Baja;2012;3284;110,75;13,78;1,4
41;Baja;2013;3603;109,97;12,73;1,55
41;Baja;2014;4614;110,1;11,74;2,04
41;Baja;2015;5819;111,19;10,74;2,18
41;Baja;2016;6330;114,67;9,73;2,56
41;Baja;2017;7176;116,22;8,74;3,93
41;Baja;2018;7582;115,09;7,76;5,24
41;Baja;2019;7052;119,4;6,75;7,97
41;Baja;2020;4619;122,77;5,7;15,33
41;Baja;2021;4379;124,1;4,74;22,81
41;Baja;2022;3692;124,6;3,71;29,98
41;Baja;2023;3917;128,14;2,74;33,85
41;Baja;2024;3820;131,09;1,74;40,65
41;Baja;2025;3960;131,31;0,71;54,44
41;Baja;2026;845;133,97;0,1;62,01
41;Media;2010;12745;108,67;15,79;0,99
41;Media;2011;10019;113,07;14,75;1,77
41;Media;2012;8748;111,45;13,77;2,09
41;Media;2013;9258;111,47;12,74;2,31
41;Media;2014;11376;111,1;11,73;2,5
41;Media;2015;13690;112,49;10,74;2,88
41;Media;2016;15332;115,79;9,74;3,29
41;Media;2017;17348;116,97;8,74;5,42
41;Media;2018;18262;117,76;7,76;6,86
41;Media;2019;17546;121,06;6,75;9,23
41;Media;2020;11641;125,07;5,7;16,85
41;Media;2021;11223;124,51;4,73;28,8
41;Media;2022;9382;126,29;3,72;33,12
41;Media;2023;10470;129,32;2,73;39,44
41;Media;2024;10163;131,89;1,74;46,57
41;Media;2025;10730;132,91;0,72;56,04
41;Media;2026;2446;134,54;0,1;66,39
41;Alta;2010;1795;111,79;15,78;1,0
41;Alta;2011;1418;114,3;14,76;1,48
41;Alta;2012;1295;113,1;13,76;2,16
41;Alta;2013;1424;109,94;12,74;2,95
41;Alta;2014;1769;111,53;11,74;3,73
41;Alta;2015;2124;113,44;10,74;3,3
41;Alta;2016;2493;116,8;9,74;3,81
41;Alta;2017;2678;116,49;8,73;6,87
41;Alta;2018;3013;119,59;7,74;7,87
41;Alta;2019;2752;120,08;6,74;11,3
41;Alta;2020;1815;124,03;5,69;19,56
41;Alta;2021;1792;129,5;4,74;29,58
41;Alta;2022;1506;128,09;3,71;38,91
41;Alta;2023;1645;130,74;2,73;39,09
41;Alta;2024;1677;134,24;1,73;47,05
41;Alta;2025;1702;134,18;0,72;61,28
41;Alta;2026;390;141,13;0,1;68,97
46;Muy baja;2010;2037;111,68;15,79;0,54
46;Muy baja;2011;1578;116,11;14,76;1,33
46;Muy baja;2012;1420;114,06;13,76;0,7
46;Muy baja;2013;1552;112,76;12,74;1,16
46;Muy baja;2014;1830;113,76;11,75;1,15
46;Muy baja;2015;2351;113,98;10,74;1,57
46;Muy baja;2016;2694;116,04;9,74;1,6
46;Muy baja;2017;2757;117,61;8,74;3,19
46;Muy baja;2018;3034;117,65;7,75;4,75
46;Muy baja;2019;2789;122,18;6,75;6,96
46;Muy baja;2020;2025;126,47;5,69;15,31
46;Muy baja;2021;1870;125,52;4,75;28,56
46;Muy baja;2022;1600;126,03;3,73;31,81
46;Muy baja;2023;1682;126,57;2,75;36,39
46;Muy baja;2024;1980;130,49;1,66;43,38
46;Muy baja;2025;3966;126,38;0,87;52,72
46;Muy baja;2026;411;139,61;0,11;66,67
46;Baja;2010;9764;112,73;15,79;0,53
46;Baja;2011;7913;117,13;14,75;1,11
46;Baja;2012;7091;113,9;13,76;1,09
46;Baja;2013;7790;113,52;12,74;0,85
46;Baja;2014;9796;113,14;11,74;1,12
46;Baja;2015;12449;114,19;10,74;1,43
46;Baja;2016;13779;116,7;9,75;1,85
46;Baja;2017;15211;117,85;8,74;3,71
46;Baja;2018;16216;118,69;7,76;4,37
46;Baja;2019;15727;122,94;6,75;6,5
46;Baja;2020;10801;125,69;5,69;16,75
46;Baja;2021;10352;125,99;4,74;26,72
46;Baja;2022;9065;125,9;3,72;33,48
46;Baja;2023;9281;131,38;2,75;39,08
46;Baja;2024;12136;132,98;1,64;44,78
46;Baja;2025;22453;129,13;0,87;54,81
46;Baja;2026;2251;140,74;0,11;67,39
46;Media;2010;7178;112,57;15,79;0,7
46;Media;2011;5679;116,77;14,75;1,48
46;Media;2012;5244;114,37;13,76;1,09
46;Media;2013;5662;113,32;12,73;1,04
46;Media;2014;7254;114,19;11,74;1,16
46;Media;2015;9177;113,7;10,74;1,42
46;Media;2016;10351;116,83;9,74;2,46
46;Media;2017;11263;118,69;8,74;4,35
