provincia;segmento_renta;tipo_combustible;n_vehiculos;pct_del_segmento
03;Muy baja;BIOMETANO;1;0,0
03;Muy baja;DESCONOCIDO;9;0,0
03;Muy baja;DIESEL;118507;42,03
03;Muy baja;ELECTRICO;5579;1,98
03;Muy baja;ETANOL;4;0,0
03;Muy baja;GASOLINA;154529;54,8
03;Muy baja;GLP;3230;1,15
03;Muy baja;GNC;116;0,04
03;Muy baja;HIDROGENO;1;0,0
03;Baja;DESCONOCIDO;3;0,0
03;Baja;DIESEL;47015;37,47
03;Baja;ELECTRICO;2604;2,08
03;Baja;ETANOL;2;0,0
03;Baja;GASOLINA;74240;59,17
03;Baja;GLP;1576;1,26
03;Baja;GNC;22;0,02
03;Baja;GNL;1;0,0
03;Baja;HIDROGENO;1;0,0
03;Media;BIODIESEL;1;0,0
03;Media;DESCONOCIDO;2;0,0
03;Media;DIESEL;44861;35,28
03;Media;ELECTRICO;4416;3,47
03;Media;ETANOL;1;0,0
03;Media;GASOLINA;76020;59,78
03;Media;GLP;1811;1,42
03;Media;GNC;49;0,04
03;Media;GNL;2;0,0
03;Media;HIDROGENO;1;0,0
08;Baja;BIODIESEL;1;0,0
08;Baja;DESCONOCIDO;3;0,0
08;Baja;DIESEL;27993;31,83
08;Baja;ELECTRICO;1138;1,29
08;Baja;GASOLINA;57063;64,88
08;Baja;GLP;1498;1,7
08;Baja;GNC;254;0,29
08;Media;BIODIESEL;1;0,0
08;Media;BIOMETANO;1;0,0
08;Media;DESCONOCIDO;11;0,0
08;Media;DIESEL;94114;33,89
08;Media;ELECTRICO;6118;2,2
08;Media;GASOLINA;172364;62,07
08;Media;GLP;4363;1,57
08;Media;GNC;705;0,25
08;Media;HIDROGENO;1;0,0
08;Alta;BIODIESEL;4;0,0
08;Alta;BUTANO;1;0,0
08;Alta;DESCONOCIDO;9;0,0
08;Alta;DIESEL;137693;33,34
08;Alta;ELECTRICO;9377;2,27
08;Alta;ETANOL;1;0,0
08;Alta;GASOLINA;258341;62,55
08;Alta;GLP;6491;1,57
08;Alta;GNC;1073;0,26
08;Alta;GNL;2;0,0
08;Alta;HIDROGENO;3;0,0
08;Muy alta;BIODIESEL;2;0,0
08;Muy alta;BIOMETANO;1;0,0
08;Muy alta;DESCONOCIDO;26;0,01
08;Muy alta;DIESEL;147767;28,66
08;Muy alta;ELECTRICO;17612;3,42
08;Muy alta;ETANOL;3;0,0
08;Muy alta;GASOLINA;340576;66,05
08;Muy alta;GLP;8345;1,62
08;Muy alta;GNC;1260;0,24
08;Muy alta;GNL;2;0,0
08;Muy alta;HIDROGENO;2;0,0
28;Muy baja;BIODIESEL;1;0,0
28;Muy baja;DESCONOCIDO;1;0,0
28;Muy baja;DIESEL;16692;48,71
28;Muy baja;ELECTRICO;711;2,07
28;Muy baja;GASOLINA;15648;45,66
28;Muy baja;GLP;1022;2,98
